Instrument,Channel1ME,Channel1PE,Channel2ME,Channel2PE,ValidSince
SN075,0.996900,0.002442,0.996900,0.002442,2017-05-15
SN076,1.021000,-0.000313,1.021000,-0.000313,2017-06-08
SN077,0.987100,0.000233,0.987100,0.000233,2017-09-26
SN080,0.986500,-0.002753,0.986500,-0.002753,2018-04-17
SN080,0.986100,-0.012950,0.986100,-0.012950,2020-06-04
SN080,0.988600,-0.011440,0.988600,-0.011440,2021-11-17
SN081,0.991800,0.001715,0.991800,0.001715,2018-11-12
SN081,0.989800,0.003007,0.989800,0.003007,2020-06-04
SN081,0.992800,0.003160,0.992800,0.003160,2021-02-26
SN082,0.984100,0.002818,0.984100,0.002818,2018-07-16
SN082,0.985200,0.003154,0.985200,0.003154,2022-09-22
SN083,0.988100,0.005742,0.988100,0.005742,2018-05-02
SN083,0.988300,0.006970,0.988300,0.006970,2019-08-08
SN083,0.987000,0.006456,0.987000,0.006456,2021-10-28
SN084,0.990000,-0.000094,0.990000,-0.000094,2018-03-27
SN084,0.987100,0.000828,0.987100,0.000828,2020-06-04
SN085,0.989400,0.000950,0.989400,0.000950,2018-10-25
SN086,0.984500,0.001965,0.984500,0.001965,2018-01-10
SN088,0.985000,-0.001101,0.985000,-0.001101,2018-03-05
SN088,0.986900,-0.001827,0.986900,-0.001827,2019-11-29
SN088,0.984700,-0.000219,0.984700,-0.000219,2021-11-17
SN091,0.985900,0.001310,0.985900,0.001310,2018-02-26
SN092,0.984500,0.002905,0.984500,0.002905,2018-05-15
SN092,0.983800,0.004053,0.983800,0.004053,2019-12-17
SN094,0.980800,0.000974,0.980800,0.000974,2018-06-18
SN095,0.982000,-0.000238,0.982000,-0.000238,2018-06-19
SN096,0.984000,0.001917,0.984000,0.001917,2019-09-17
SN097,0.988900,0.000029,0.988900,0.000029,2019-02-20
SN097,0.985800,0.001895,0.985800,0.001895,2020-06-04
SN097,0.988800,0.001993,0.988800,0.001993,2022-08-10
SN098,0.989400,0.004378,0.989400,0.004378,2019-02-20
SN098,0.987300,0.000968,0.987300,0.000968,2021-02-26
SN099,0.980700,0.004082,0.980700,0.004082,2018-11-06
SN103,0.985100,0.002262,0.985100,0.002262,2019-02-04
SN103,0.983600,0.002190,0.983600,0.002190,2021-10-19
SN104,0.984700,0.002773,0.984700,0.002773,2019-02-04
SN106,0.981900,-0.000163,0.981900,-0.000163,2019-03-25
SN109,0.985200,0.001953,0.985200,0.001953,2019-03-25
SN110,0.987800,0.005564,0.987800,0.005564,2019-03-26
SN111,0.988000,-0.000586,0.988000,-0.000586,2019-02-11
SN112,0.988100,-0.002138,0.988100,-0.002138,2019-07-09
SN113,0.986000,0.002527,0.986000,0.002527,2019-07-15
SN114,0.986500,0.002282,0.986500,0.002282,2019-07-24
SN115,0.986200,0.000944,0.986200,0.000944,2019-07-24
SN116,0.986200,0.002884,0.986200,0.002884,2019-09-30
SN117,0.977700,0.002248,0.977700,0.002248,2019-10-22
SN117,0.979700,0.002134,0.979700,0.002134,2022-03-08
SN118,0.984700,0.005822,0.984700,0.005822,2019-11-11
SN119,0.980900,-0.002006,0.980900,-0.002006,2019-11-01
SN120,0.984500,0.002689,0.984500,0.002689,2019-11-07
SN120,0.973800,0.002641,0.973800,0.002641,2020-12-29
SN120,0.985900,0.002210,0.985900,0.002210,2021-02-18
SN120,0.984400,0.002942,0.984400,0.002942,2021-02-19
SN121,0.981600,0.007284,0.981600,0.007284,2019-11-19
SN122,0.988800,-0.000258,0.988800,-0.000258,2019-11-19
SN126,0.986100,0.000598,0.986100,0.000598,2019-12-13
SN127,0.980500,0.002659,0.980500,0.002659,2019-12-11
SN128,0.986000,-0.000554,0.986000,-0.000554,2019-12-11
SN130,0.983900,0.002367,0.983900,0.002367,2019-12-17
SN131,0.986900,-0.000480,0.986900,-0.000480,2020-01-20
SN132,0.983900,-0.001991,0.983900,-0.001991,2020-01-16
SN134,0.988800,0.003688,0.988800,0.003688,2020-03-17
SN136,0.987900,0.004427,0.987900,0.004427,2020-07-02
SN136,0.988100,0.004911,0.988100,0.004911,2021-02-16
SN136,0.989000,0.005411,0.989000,0.005411,2021-02-18
SN136,0.988100,0.005162,0.988100,0.005162,2021-02-19
SN136,0.990100,0.005367,0.990100,0.005367,2021-03-03
SN138,0.988300,0.002182,0.988300,0.002182,2020-03-11
SN138,0.987500,0.003924,0.987500,0.003924,2020-07-02
SN139,0.984500,0.000714,0.984500,0.000714,2021-01-25
SN140,0.985200,0.002233,0.985200,0.002233,2021-02-05
SN141,0.984100,0.003084,0.984100,0.003084,2021-02-12
SN142,0.993900,0.002832,0.993900,0.002832,2020-08-14
SN142,0.989000,0.000884,0.989000,0.000884,2021-04-23
SN142,0.983200,-0.000340,0.983200,-0.000340,2023-09-18
SN143,0.987000,0.000795,0.987000,0.000795,2020-11-10
SN144,0.985900,-0.001597,0.985900,-0.001597,2020-11-13
SN145,0.985200,0.000635,0.985200,0.000635,2021-01-04
SN146,0.987500,0.002578,0.987500,0.002578,2021-01-04
SN147,0.986700,0.002605,0.986700,0.002605,2021-03-06
SN148,0.988400,-0.002023,0.988400,-0.002023,2021-04-23
SN149,0.986700,-0.001832,0.986700,-0.001832,2021-03-05
