utc-date,utc-time,temperature,pressure
2017-06-08,00:10:00,+6.8000e+00,+9.9892e+02
2017-06-08,00:20:00,+7.3000e+00,+9.9902e+02
2017-06-08,00:30:00,+7.5000e+00,+9.9902e+02
2017-06-08,00:40:00,+7.4000e+00,+9.9912e+02
2017-06-08,00:50:00,+7.5000e+00,+9.9912e+02
2017-06-08,01:00:00,+7.7000e+00,+9.9912e+02
2017-06-08,01:10:00,+7.7000e+00,+9.9922e+02
2017-06-08,01:20:00,+8.0000e+00,+9.9912e+02
2017-06-08,01:30:00,+8.6000e+00,+9.9912e+02
2017-06-08,01:40:00,+9.5000e+00,+9.9912e+02
2017-06-08,01:50:00,+1.0200e+01,+9.9912e+02
2017-06-08,02:00:00,+1.1000e+01,+9.9902e+02
2017-06-08,02:10:00,+1.1800e+01,+9.9902e+02
2017-06-08,02:20:00,+1.3000e+01,+9.9912e+02
2017-06-08,02:30:00,+1.3400e+01,+9.9912e+02
2017-06-08,02:40:00,+1.3900e+01,+9.9922e+02
2017-06-08,02:50:00,+1.4400e+01,+9.9922e+02
2017-06-08,03:10:00,+1.4800e+01,+9.9922e+02
2017-06-08,03:20:00,+1.5000e+01,+9.9922e+02
2017-06-08,03:30:00,+1.5100e+01,+9.9922e+02
2017-06-08,03:40:00,+1.5500e+01,+9.9922e+02
2017-06-08,03:50:00,+1.5700e+01,+9.9912e+02
2017-06-08,04:00:00,+1.5900e+01,+9.9912e+02
2017-06-08,04:10:00,+1.6100e+01,+9.9912e+02
2017-06-08,04:20:00,+1.6500e+01,+9.9902e+02
2017-06-08,04:30:00,+1.6600e+01,+9.9902e+02
2017-06-08,04:40:00,+1.6800e+01,+9.9902e+02
2017-06-08,04:50:00,+1.6900e+01,+9.9902e+02
2017-06-08,05:00:00,+1.7500e+01,+9.9892e+02
2017-06-08,05:10:00,+1.7800e+01,+9.9892e+02
2017-06-08,05:20:00,+1.8500e+01,+9.9892e+02
2017-06-08,05:30:00,+1.8500e+01,+9.9892e+02
2017-06-08,05:40:00,+1.8800e+01,+9.9892e+02
2017-06-08,05:50:00,+1.9100e+01,+9.9882e+02
2017-06-08,06:10:00,+2.0100e+01,+9.9882e+02
2017-06-08,06:20:00,+2.0200e+01,+9.9872e+02
2017-06-08,06:30:00,+2.0800e+01,+9.9872e+02
2017-06-08,06:40:00,+2.0400e+01,+9.9872e+02
2017-06-08,06:50:00,+2.0700e+01,+9.9882e+02
2017-06-08,07:00:00,+2.0700e+01,+9.9882e+02
2017-06-08,07:10:00,+2.1100e+01,+9.9882e+02
2017-06-08,07:20:00,+2.0800e+01,+9.9872e+02
2017-06-08,07:30:00,+2.0700e+01,+9.9872e+02
