METADATA
##########
utc,ma_app_sza,ma_azimuth,ma_gnd_p,ma_gnd_t,ma_xair,ma_xch4,ma_xch4_s5p,ma_xco,ma_xco2,ma_xh2o,mb_app_sza,mb_azimuth,mb_gnd_p,mb_gnd_t,mb_xair,mb_xch4,mb_xch4_s5p,mb_xco,mb_xco2,mb_xh2o,mc_app_sza,mc_azimuth,mc_gnd_p,mc_gnd_t,mc_xair,mc_xch4,mc_xch4_s5p,mc_xco,mc_xco2,mc_xh2o,md_app_sza,md_azimuth,md_gnd_p,md_gnd_t,md_xair,md_xch4,md_xch4_s5p,md_xco,md_xco2,md_xh2o,me_app_sza,me_azimuth,me_gnd_p,me_gnd_t,me_xair,me_xch4,me_xch4_s5p,me_xco,me_xco2,me_xh2o
2021-01-01 08:57:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.555,-32.682500000000005,939.7,274.48,0.99975125,1.87771,0.0,0.0,415.25350000000003,1165.0175
2021-01-01 08:58:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.4575,-32.45,939.74,274.48,0.99975625,1.8784100000000001,0.0,0.0,415.13025,1164.6075
2021-01-01 08:59:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.3625,-32.2175,939.76,274.48,0.9998745,1.8784275,0.0,0.0,415.163,1167.3875
2021-01-01 09:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.36,-31.98,944.43,274.71,1.00811,1.88358,0.0,0.0,416.431,1179.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.28,-32.01333333333333,939.7766666666666,274.48,0.9994493333333333,1.8788166666666666,0.0,0.0,415.3306666666667,1166.2566666666664
2021-01-01 09:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.195,-31.81,939.795,274.48,0.9994615,1.878415,0.0,0.0,415.3685,1167.165
2021-01-01 09:02:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.09333333333333,-31.55333333333333,939.8066666666667,274.48,1.0001499999999999,1.8791233333333333,0.0,0.0,415.4843333333333,1168.6566666666668
2021-01-01 09:03:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.015,-31.35,939.825,274.48,1.0003,1.878505,0.0,0.0,415.38225,1168.5974999999999
2021-01-01 09:04:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.93333333333334,-31.143333333333334,939.8533333333334,274.48,1.0004113333333333,1.8785399999999999,0.0,0.0,415.44599999999997,1169.6933333333334
2021-01-01 09:05:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.84666666666668,-30.919999999999998,939.8833333333333,274.48,0.999803,1.8792033333333336,0.0,0.0,415.56,1172.0133333333333
2021-01-01 09:06:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.7575,-30.695,939.905,274.48,1.000765,1.878345,0.0,0.0,415.45175,1172.4425
